epoch,batch_size,combination_number,dense_layers,epochs,learning_rate,loss,lstm1_dropouts,lstm1_nodes,lstm_layers,optimizer,time_steps,val_loss
0,70,-1,"""[layers]""",50,5.887660023923396e-05,0.20805885228845808,0.12496308946887336,70,"""[layers]""",rms,90,0.13394762575626373
1,70,-1,"""[layers]""",50,5.887660023923396e-05,0.19677798284424675,0.12496308946887336,70,"""[layers]""",rms,90,0.1260996274650097
2,70,-1,"""[layers]""",50,5.887660023923396e-05,0.18664465844631195,0.12496308946887336,70,"""[layers]""",rms,90,0.11732559651136398
3,70,-1,"""[layers]""",50,5.887660023923396e-05,0.17446439961592355,0.12496308946887336,70,"""[layers]""",rms,90,0.10638491809368134
4,70,-1,"""[layers]""",50,5.887660023923396e-05,0.16066290934880575,0.12496308946887336,70,"""[layers]""",rms,90,0.09385189786553383
5,70,-1,"""[layers]""",50,5.887660023923396e-05,0.1454041749238968,0.12496308946887336,70,"""[layers]""",rms,90,0.07942232117056847
6,70,-1,"""[layers]""",50,5.887660023923396e-05,0.12726474718915093,0.12496308946887336,70,"""[layers]""",rms,90,0.06330022029578686
7,70,-1,"""[layers]""",50,5.887660023923396e-05,0.1108777705166075,0.12496308946887336,70,"""[layers]""",rms,90,0.046931250020861626
8,70,-1,"""[layers]""",50,5.887660023923396e-05,0.0906407270166609,0.12496308946887336,70,"""[layers]""",rms,90,0.031198982149362564
9,70,-1,"""[layers]""",50,5.887660023923396e-05,0.07272149042950736,0.12496308946887336,70,"""[layers]""",rms,90,0.017473844811320305
10,70,-1,"""[layers]""",50,5.887660023923396e-05,0.056710637691948146,0.12496308946887336,70,"""[layers]""",rms,90,0.007065082900226116
11,70,-1,"""[layers]""",50,5.887660023923396e-05,0.046258491981360644,0.12496308946887336,70,"""[layers]""",rms,90,0.0016752964875195175
12,70,-1,"""[layers]""",50,5.887660023923396e-05,0.035468461716340646,0.12496308946887336,70,"""[layers]""",rms,90,0.0005273008573567495
13,70,-1,"""[layers]""",50,5.887660023923396e-05,0.03159372705138392,0.12496308946887336,70,"""[layers]""",rms,90,0.0020604688907042146
14,70,-1,"""[layers]""",50,5.887660023923396e-05,0.028220572392456234,0.12496308946887336,70,"""[layers]""",rms,90,0.004619137500412762
15,70,-1,"""[layers]""",50,5.887660023923396e-05,0.027318194612032838,0.12496308946887336,70,"""[layers]""",rms,90,0.006953527918085456
16,70,-1,"""[layers]""",50,5.887660023923396e-05,0.026785063214548346,0.12496308946887336,70,"""[layers]""",rms,90,0.008136291522532701
17,70,-1,"""[layers]""",50,5.887660023923396e-05,0.02662594471540716,0.12496308946887336,70,"""[layers]""",rms,90,0.008425864856690168
18,70,-1,"""[layers]""",50,5.887660023923396e-05,0.026581643265672028,0.12496308946887336,70,"""[layers]""",rms,90,0.00882608420215547
19,70,-1,"""[layers]""",50,5.887660023923396e-05,0.026608180183555104,0.12496308946887336,70,"""[layers]""",rms,90,0.00931739085353911
20,70,-1,"""[layers]""",50,5.887660023923396e-05,0.02660249825567007,0.12496308946887336,70,"""[layers]""",rms,90,0.009185172850266099
21,70,-1,"""[layers]""",50,5.887660023923396e-05,0.026512532352676824,0.12496308946887336,70,"""[layers]""",rms,90,0.008187551749870181
22,70,-1,"""[layers]""",50,5.887660023923396e-05,0.026494741498026997,0.12496308946887336,70,"""[layers]""",rms,90,0.00813621818087995
23,70,-1,"""[layers]""",50,5.887660023923396e-05,0.026406040208207235,0.12496308946887336,70,"""[layers]""",rms,90,0.008322414942085743
24,70,-1,"""[layers]""",50,5.887660023923396e-05,0.026443420062100306,0.12496308946887336,70,"""[layers]""",rms,90,0.007758998079225421
25,70,-1,"""[layers]""",50,5.887660023923396e-05,0.02631235494562942,0.12496308946887336,70,"""[layers]""",rms,90,0.006747002014890313
26,70,-1,"""[layers]""",50,5.887660023923396e-05,0.026241054758429527,0.12496308946887336,70,"""[layers]""",rms,90,0.006695673102512956
27,70,-1,"""[layers]""",50,5.887660023923396e-05,0.02595185726467106,0.12496308946887336,70,"""[layers]""",rms,90,0.005517202895134687
28,70,-1,"""[layers]""",50,5.887660023923396e-05,0.025933761945149552,0.12496308946887336,70,"""[layers]""",rms,90,0.004974994109943509
